user_id,event_type,timestamp,device
60,login,2023-01-01 01:42:00,tablet
60,view_item,2023-01-01 20:28:00,mobile
60,purchase,2023-01-01 17:31:00,tablet
60,logout,2023-01-01 19:01:00,mobile
45,logout,2023-01-01 07:04:00,mobile
45,add_to_cart,2023-01-01 13:20:00,tablet
45,login,2023-01-01 13:10:00,mobile
45,logout,2023-01-01 17:51:00,mobile
45,purchase,2023-01-01 17:20:00,desktop
132,add_to_cart,2023-01-01 03:01:00,tablet
132,add_to_cart,2023-01-01 14:21:00,tablet
132,login,2023-01-01 11:57:00,tablet
132,login,2023-01-01 22:33:00,tablet
132,purchase,2023-01-01 11:24:00,desktop
162,logout,2023-01-01 05:28:00,desktop
162,purchase,2023-01-01 06:00:00,tablet
162,login,2023-01-01 00:24:00,desktop
162,view_item,2023-01-01 16:39:00,mobile
162,login,2023-01-01 21:47:00,tablet
167,add_to_cart,2023-01-01 15:16:00,mobile
34,purchase,2023-01-01 07:11:00,desktop
34,purchase,2023-01-01 09:39:00,mobile
72,logout,2023-01-01 07:37:00,tablet
72,login,2023-01-01 18:12:00,mobile
72,login,2023-01-01 13:39:00,tablet
72,purchase,2023-01-01 17:45:00,tablet
105,logout,2023-01-01 12:40:00,mobile
105,add_to_cart,2023-01-01 11:49:00,desktop
105,logout,2023-01-01 18:43:00,mobile
105,purchase,2023-01-01 15:45:00,mobile
105,add_to_cart,2023-01-01 13:13:00,desktop
63,logout,2023-01-01 01:12:00,desktop
63,purchase,2023-01-01 17:58:00,tablet
63,purchase,2023-01-01 15:20:00,desktop
5,logout,2023-01-01 11:31:00,desktop
111,login,2023-01-01 14:30:00,desktop
31,purchase,2023-01-01 01:33:00,desktop
31,logout,2023-01-01 12:28:00,desktop
31,view_item,2023-01-01 10:21:00,mobile
106,logout,2023-01-01 01:39:00,tablet
35,view_item,2023-01-01 20:05:00,mobile
35,login,2023-01-01 01:06:00,mobile
35,add_to_cart,2023-01-01 18:03:00,desktop
35,purchase,2023-01-01 11:18:00,mobile
20,purchase,2023-01-01 16:16:00,desktop
20,view_item,2023-01-01 00:37:00,tablet
172,login,2023-01-01 12:55:00,desktop
172,logout,2023-01-01 16:25:00,mobile
185,view_item,2023-01-01 14:11:00,mobile
185,add_to_cart,2023-01-01 09:39:00,tablet
185,purchase,2023-01-01 22:58:00,mobile
185,login,2023-01-01 03:31:00,mobile
185,add_to_cart,2023-01-01 22:41:00,mobile
138,add_to_cart,2023-01-01 09:54:00,desktop
138,add_to_cart,2023-01-01 00:48:00,tablet
169,add_to_cart,2023-01-01 10:05:00,tablet
94,logout,2023-01-01 01:14:00,tablet
190,logout,2023-01-01 18:47:00,mobile
190,logout,2023-01-01 16:55:00,desktop
190,purchase,2023-01-01 08:05:00,tablet
190,logout,2023-01-01 16:19:00,mobile
190,add_to_cart,2023-01-01 12:53:00,mobile
61,view_item,2023-01-01 00:27:00,mobile
61,add_to_cart,2023-01-01 08:29:00,tablet
61,view_item,2023-01-01 22:54:00,mobile
61,login,2023-01-01 01:01:00,tablet
81,add_to_cart,2023-01-01 07:37:00,desktop
195,logout,2023-01-01 10:29:00,tablet
195,view_item,2023-01-01 00:36:00,desktop
3,login,2023-01-01 14:56:00,tablet
3,logout,2023-01-01 21:58:00,desktop
3,add_to_cart,2023-01-01 09:15:00,desktop
1,view_item,2023-01-01 17:28:00,tablet
1,purchase,2023-01-01 23:39:00,mobile
1,add_to_cart,2023-01-01 03:24:00,tablet
1,logout,2023-01-01 12:53:00,mobile
118,add_to_cart,2023-01-01 05:17:00,desktop
118,add_to_cart,2023-01-01 21:34:00,desktop
112,login,2023-01-01 05:39:00,mobile
19,login,2023-01-01 04:25:00,mobile
19,add_to_cart,2023-01-01 01:19:00,desktop
178,purchase,2023-01-01 15:24:00,mobile
178,view_item,2023-01-01 12:16:00,mobile
178,add_to_cart,2023-01-01 17:42:00,tablet
178,login,2023-01-01 08:57:00,mobile
11,view_item,2023-01-01 17:18:00,mobile
11,add_to_cart,2023-01-01 02:22:00,desktop
11,purchase,2023-01-01 14:43:00,mobile
11,logout,2023-01-01 03:55:00,mobile
11,view_item,2023-01-01 19:46:00,mobile
75,logout,2023-01-01 18:53:00,desktop
75,add_to_cart,2023-01-01 16:35:00,tablet
75,logout,2023-01-01 01:08:00,tablet
75,logout,2023-01-01 13:01:00,mobile
40,login,2023-01-01 11:08:00,mobile
40,purchase,2023-01-01 13:20:00,tablet
40,add_to_cart,2023-01-01 18:49:00,desktop
40,add_to_cart,2023-01-01 10:20:00,mobile
15,view_item,2023-01-01 05:27:00,desktop
171,view_item,2023-01-01 08:34:00,tablet
171,logout,2023-01-01 13:24:00,mobile
171,login,2023-01-01 08:20:00,desktop
171,view_item,2023-01-01 15:46:00,mobile
171,add_to_cart,2023-01-01 12:31:00,mobile
156,login,2023-01-01 03:45:00,tablet
156,login,2023-01-01 23:44:00,mobile
144,purchase,2023-01-01 21:32:00,tablet
144,login,2023-01-01 08:59:00,mobile
144,logout,2023-01-01 08:29:00,tablet
144,logout,2023-01-01 13:57:00,mobile
99,login,2023-01-01 00:50:00,desktop
99,purchase,2023-01-01 03:09:00,tablet
99,logout,2023-01-01 04:14:00,mobile
99,logout,2023-01-01 21:00:00,mobile
129,purchase,2023-01-01 22:27:00,tablet
129,logout,2023-01-01 04:52:00,desktop
129,purchase,2023-01-01 13:58:00,tablet
92,view_item,2023-01-01 09:52:00,mobile
92,login,2023-01-01 07:31:00,desktop
92,login,2023-01-01 09:35:00,mobile
92,view_item,2023-01-01 02:22:00,tablet
92,login,2023-01-01 03:47:00,tablet
