user_id,event_type,timestamp,device,event_date
51,add_to_cart,2023-01-01 01:52:00,desktop,2023-01-01
51,logout,2023-01-01 11:44:00,mobile,2023-01-01
69,purchase,2023-01-01 03:30:00,tablet,2023-01-01
69,add_to_cart,2023-01-01 18:39:00,tablet,2023-01-01
69,login,2023-01-01 15:50:00,desktop,2023-01-01
69,login,2023-01-01 22:59:00,desktop,2023-01-01
14,add_to_cart,2023-01-01 13:30:00,tablet,2023-01-01
14,login,2023-01-01 15:03:00,tablet,2023-01-01
14,add_to_cart,2023-01-01 04:11:00,tablet,2023-01-01
49,logout,2023-01-01 01:45:00,tablet,2023-01-01
49,login,2023-01-01 17:52:00,tablet,2023-01-01
49,purchase,2023-01-01 14:18:00,mobile,2023-01-01
49,view_item,2023-01-01 21:38:00,tablet,2023-01-01
172,view_item,2023-01-01 18:06:00,mobile,2023-01-01
172,view_item,2023-01-01 12:46:00,desktop,2023-01-01
172,purchase,2023-01-01 04:59:00,mobile,2023-01-01
172,logout,2023-01-01 13:02:00,tablet,2023-01-01
172,purchase,2023-01-01 21:16:00,mobile,2023-01-01
19,view_item,2023-01-01 13:12:00,desktop,2023-01-01
184,purchase,2023-01-01 19:20:00,mobile,2023-01-01
184,logout,2023-01-01 07:35:00,desktop,2023-01-01
184,logout,2023-01-01 22:06:00,desktop,2023-01-01
184,logout,2023-01-01 00:36:00,desktop,2023-01-01
184,purchase,2023-01-01 02:04:00,mobile,2023-01-01
70,purchase,2023-01-01 00:14:00,tablet,2023-01-01
188,logout,2023-01-01 23:45:00,mobile,2023-01-01
188,logout,2023-01-01 20:08:00,tablet,2023-01-01
188,purchase,2023-01-01 02:44:00,mobile,2023-01-01
188,purchase,2023-01-01 01:01:00,desktop,2023-01-01
188,login,2023-01-01 10:18:00,desktop,2023-01-01
177,login,2023-01-01 19:15:00,mobile,2023-01-01
177,view_item,2023-01-01 09:37:00,desktop,2023-01-01
177,logout,2023-01-01 19:04:00,desktop,2023-01-01
173,logout,2023-01-01 05:06:00,tablet,2023-01-01
173,login,2023-01-01 04:18:00,tablet,2023-01-01
173,login,2023-01-01 21:12:00,tablet,2023-01-01
173,purchase,2023-01-01 01:56:00,tablet,2023-01-01
173,add_to_cart,2023-01-01 08:06:00,desktop,2023-01-01
117,login,2023-01-01 08:43:00,desktop,2023-01-01
117,view_item,2023-01-01 03:00:00,desktop,2023-01-01
35,add_to_cart,2023-01-01 09:01:00,tablet,2023-01-01
35,add_to_cart,2023-01-01 13:45:00,desktop,2023-01-01
35,add_to_cart,2023-01-01 01:47:00,tablet,2023-01-01
33,view_item,2023-01-01 20:30:00,mobile,2023-01-01
33,add_to_cart,2023-01-01 21:58:00,desktop,2023-01-01
33,login,2023-01-01 01:47:00,tablet,2023-01-01
76,view_item,2023-01-01 09:01:00,desktop,2023-01-01
76,purchase,2023-01-01 11:51:00,tablet,2023-01-01
76,view_item,2023-01-01 13:08:00,mobile,2023-01-01
178,view_item,2023-01-01 11:41:00,desktop,2023-01-01
178,purchase,2023-01-01 06:38:00,desktop,2023-01-01
178,purchase,2023-01-01 03:58:00,desktop,2023-01-01
178,login,2023-01-01 16:57:00,mobile,2023-01-01
178,add_to_cart,2023-01-01 03:11:00,desktop,2023-01-01
161,login,2023-01-01 12:41:00,desktop,2023-01-01
161,logout,2023-01-01 10:52:00,desktop,2023-01-01
161,purchase,2023-01-01 03:49:00,mobile,2023-01-01
161,login,2023-01-01 08:07:00,tablet,2023-01-01
130,logout,2023-01-01 09:48:00,tablet,2023-01-01
56,login,2023-01-01 03:49:00,tablet,2023-01-01
84,logout,2023-01-01 14:39:00,mobile,2023-01-01
23,purchase,2023-01-01 10:54:00,desktop,2023-01-01
23,view_item,2023-01-01 07:26:00,tablet,2023-01-01
100,add_to_cart,2023-01-01 12:27:00,desktop,2023-01-01
100,purchase,2023-01-01 19:48:00,mobile,2023-01-01
100,logout,2023-01-01 16:33:00,mobile,2023-01-01
100,purchase,2023-01-01 16:05:00,desktop,2023-01-01
100,logout,2023-01-01 12:18:00,desktop,2023-01-01
189,login,2023-01-01 10:31:00,mobile,2023-01-01
189,add_to_cart,2023-01-01 09:08:00,tablet,2023-01-01
189,view_item,2023-01-01 03:42:00,mobile,2023-01-01
189,login,2023-01-01 01:14:00,tablet,2023-01-01
31,view_item,2023-01-01 06:46:00,desktop,2023-01-01
31,purchase,2023-01-01 01:30:00,desktop,2023-01-01
71,view_item,2023-01-01 22:26:00,mobile,2023-01-01
71,login,2023-01-01 02:58:00,tablet,2023-01-01
71,view_item,2023-01-01 08:05:00,mobile,2023-01-01
71,add_to_cart,2023-01-01 22:38:00,desktop,2023-01-01
71,view_item,2023-01-01 21:15:00,tablet,2023-01-01
190,login,2023-01-01 21:20:00,desktop,2023-01-01
190,logout,2023-01-01 03:56:00,mobile,2023-01-01
180,add_to_cart,2023-01-01 06:35:00,mobile,2023-01-01
180,add_to_cart,2023-01-01 12:15:00,mobile,2023-01-01
180,view_item,2023-01-01 17:21:00,desktop,2023-01-01
128,logout,2023-01-01 04:43:00,tablet,2023-01-01
128,add_to_cart,2023-01-01 23:13:00,desktop,2023-01-01
128,login,2023-01-01 09:29:00,tablet,2023-01-01
4,purchase,2023-01-01 11:39:00,desktop,2023-01-01
169,add_to_cart,2023-01-01 20:43:00,tablet,2023-01-01
169,view_item,2023-01-01 15:31:00,tablet,2023-01-01
169,purchase,2023-01-01 18:00:00,tablet,2023-01-01
109,add_to_cart,2023-01-01 07:03:00,tablet,2023-01-01
154,login,2023-01-01 23:00:00,desktop,2023-01-01
154,view_item,2023-01-01 21:30:00,tablet,2023-01-01
154,view_item,2023-01-01 07:29:00,desktop,2023-01-01
154,add_to_cart,2023-01-01 11:16:00,mobile,2023-01-01
154,purchase,2023-01-01 23:51:00,tablet,2023-01-01
52,login,2023-01-01 01:30:00,tablet,2023-01-01
52,logout,2023-01-01 14:47:00,mobile,2023-01-01
98,logout,2023-01-01 07:21:00,tablet,2023-01-01
98,add_to_cart,2023-01-01 18:29:00,tablet,2023-01-01
98,login,2023-01-01 07:28:00,tablet,2023-01-01
122,purchase,2023-01-01 08:42:00,mobile,2023-01-01
122,purchase,2023-01-01 11:40:00,desktop,2023-01-01
122,login,2023-01-01 23:11:00,tablet,2023-01-01
122,purchase,2023-01-01 06:04:00,tablet,2023-01-01
122,purchase,2023-01-01 13:35:00,tablet,2023-01-01
175,add_to_cart,2023-01-01 10:39:00,mobile,2023-01-01
175,logout,2023-01-01 13:28:00,desktop,2023-01-01
175,logout,2023-01-01 10:57:00,mobile,2023-01-01
175,view_item,2023-01-01 22:14:00,tablet,2023-01-01
118,logout,2023-01-01 18:16:00,mobile,2023-01-01
118,login,2023-01-01 16:37:00,desktop,2023-01-01
63,login,2023-01-01 06:59:00,mobile,2023-01-01
63,view_item,2023-01-01 17:43:00,mobile,2023-01-01
10,logout,2023-01-01 19:28:00,mobile,2023-01-01
10,add_to_cart,2023-01-01 08:25:00,desktop,2023-01-01
10,view_item,2023-01-01 00:23:00,tablet,2023-01-01
10,purchase,2023-01-01 18:54:00,mobile,2023-01-01
89,login,2023-01-01 20:42:00,desktop,2023-01-01
152,login,2023-01-01 14:19:00,tablet,2023-01-01
152,logout,2023-01-01 01:26:00,mobile,2023-01-01
152,view_item,2023-01-01 11:35:00,desktop,2023-01-01
152,view_item,2023-01-01 09:30:00,desktop,2023-01-01
144,view_item,2023-01-01 17:47:00,desktop,2023-01-01
144,view_item,2023-01-01 17:40:00,mobile,2023-01-01
144,logout,2023-01-01 23:58:00,mobile,2023-01-01
149,login,2023-01-01 07:58:00,tablet,2023-01-01
149,purchase,2023-01-01 16:38:00,tablet,2023-01-01
149,logout,2023-01-01 06:45:00,desktop,2023-01-01
149,login,2023-01-01 19:27:00,mobile,2023-01-01
24,logout,2023-01-01 13:52:00,tablet,2023-01-01
24,purchase,2023-01-01 08:56:00,mobile,2023-01-01
24,logout,2023-01-01 05:21:00,mobile,2023-01-01
24,view_item,2023-01-01 22:26:00,desktop,2023-01-01
46,login,2023-01-01 01:48:00,tablet,2023-01-01
46,add_to_cart,2023-01-01 00:12:00,desktop,2023-01-01
46,add_to_cart,2023-01-01 05:27:00,desktop,2023-01-01
46,add_to_cart,2023-01-01 17:46:00,mobile,2023-01-01
174,logout,2023-01-01 10:21:00,desktop,2023-01-01
111,add_to_cart,2023-01-01 16:39:00,tablet,2023-01-01
111,purchase,2023-01-01 12:07:00,desktop,2023-01-01
111,view_item,2023-01-01 03:09:00,desktop,2023-01-01
111,add_to_cart,2023-01-01 12:53:00,tablet,2023-01-01
101,add_to_cart,2023-01-01 14:41:00,tablet,2023-01-01
101,logout,2023-01-01 14:21:00,tablet,2023-01-01
